lat;lon;date_msg;address;inf_detail;vid
54.110903;29.224471;03.12.2018;Миколаевка;НБР №5;0
54.371368;29.168079;06.12.2018;Худовцы, Улица Центральная, дом 1;НБР №6;0
54.110903;29.224471;06.12.2018;Миколаевка;НБР №6;0
30.801111;51.933333;01.12.2018;Лоев, Улица Первомайская, дом 45;отработка норматива б/р №7;0
30.723889;51.916944;04.12.2018;Крупейки, Улица Банникова, дом 17а, 1;Вводная - поступило сообщение о коротком замыкании в кабинете прачечной детского приюта есть пострадавший. По прибытии вызов №2 подтвержден (8 АЦ), работало 2 Звена ГДЗС на тушение подано 2 ствола СПРУ.;0
52.526149;25.842477;06.12.2018;Телеханы, Улица Якуба Коласа, дом 1;Занятия ГСВ;0
52.821286;25.707961;06.12.2018;Добромысль, Улица Брестская, дом 9;Отработка вводной, тушение пожаров в электроустановках;0
54.849292;29.156520;05.12.2018;Чашники, Улица Советская, дом 74;ТСП;0
53.036598;26.254817;01.12.2018;Ляховичи, Улица Ленина;Отработана вводная по спасению провалившегося под лёд;0
52.372845;30.386319;06.12.2018;Речица, Улица Советская, дом 27;Ознакомление с оперативно-тактической характеристикой объекта;0
54.253993;28.820487;01.12.2018;Бояры;Пожар деревянного дачного дома 4х4 м, крыша шиферная по деревянной обрешетке, электрифицирован, АПИ не установлен. В результате пожара уничтожены крыша и имущество дома. Причина пожара устанавливается.;3
53.988587;27.799498;05.12.2018;Королев Стан;проверка ППВ;0
52.191199;24.029783;02.12.2018;Жабинка, Улица Центральная, дом 5;Платная услуга, промывка канализации.;0
55.311686;28.601509;03.12.2018;Близница, Улица Центральная, дом 5б;Занятия ПАСП;0
51.433333;30.566667;03.12.2018;Комарин, Улица Ленина В.И., дом 89;Отработка норматива №11;0
51.783333;30.266667;03.12.2018;Брагин, Улица Кравченко, дом 7а;Отработка норматива №11;0
55.042717;29.462524;06.12.2018;Бешенковичи;Отработка ОП иОК;0
53.531058;30.236464;04.12.2018;Быхов, Улица Калинина, дом 54;Горение мусора;0
53.132623;26.044857;05.12.2018;Русино, Улица Школьная, дом 25;ТСЗ.;0
53.327517;26.006629;05.12.2018;Городище, Улица Рымши, дом 4;Отработка норматива б/р № 2.;0
54.371381;29.168049;05.12.2018;Худовцы, Улица Магистральная, дом 2;занятие на огневой полосе психофизической подготовки.;0
53.175832;29.205443;05.12.2018;г. Бобруйск, Улица Минская, дом 142а;ТСЗ;0
53.150887;29.224279;02.12.2018;г. Бобруйск, Улица Октябрьская, дом 159;ПАСП фасад;0
